;token;tf;df;idf;tf-idf;arquivo
0;câncer;0.10054605627782277;2.0227500733538464;2.0227500733538464;0.10054605627782277;0
1;pulmão;0.06216846997231358;2.1261616730531245;2.1261616730531245;0.06216846997231358;0
2;doença;0.006857691801920783;2.345330596256908;2.345330596256908;0.006857691801920783;0
3;maligna;0.011695906432748537;2.0;2.0;0.011695906432748537;0
4;comum;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
5;todo;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
6;mundo;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
7;todos;0.02057307540576235;2.345330596256908;2.345330596256908;0.02057307540576235;0
8;novos;0.011695906432748537;2.0;2.0;0.011695906432748537;0
9;casos;0.023756067629391656;2.7081917097506487;2.7081917097506487;0.023756067629391656;0
10;acordo;0.006857691801920783;2.345330596256908;2.345330596256908;0.006857691801920783;0
11;global;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
12;burden;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
13;of;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
14;disease;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
15;study;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
16;principal;0.011695906432748537;2.0;2.0;0.011695906432748537;0
17;causa;0.011695906432748537;2.0;2.0;0.011695906432748537;0
18;mortalidade;0.06667722391169537;2.533734508644424;2.533734508644424;0.06667722391169537;0
19;—;0.006857691801920783;2.345330596256908;2.345330596256908;0.006857691801920783;0
20;milhões;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
21;mortes;0.06957538289179162;2.6438645498880815;2.6438645498880815;0.06957538289179162;0
22;ano;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
23;tipos;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
24;apresenta;0.005847953216374269;2.0;2.0;0.005847953216374269;0
25;maior;0.022340187385929623;2.546781361995977;2.546781361995977;0.022340187385929623;0
26;taxa;0.013715383603841566;2.345330596256908;2.345330596256908;0.013715383603841566;0
27;padronizada;0.011695906432748537;2.0;2.0;0.011695906432748537;0
28;idade;0.05495926910824883;2.6851528621458716;2.6851528621458716;0.05495926910824883;0
29;habitantes;0.05495926910824883;2.6851528621458716;2.6851528621458716;0.05495926910824883;0
30;brasil;0.05650564885527191;2.415616488562874;2.415616488562874;0.05650564885527191;0
31;instituto;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
32;nacional;0.013715383603841566;2.345330596256908;2.345330596256908;0.013715383603841566;0
33;inca;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
34;estimou;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
35;número;0.007446729128643207;2.546781361995977;2.546781361995977;0.007446729128643207;0
36;quais;0.006857691801920783;2.345330596256908;2.345330596256908;0.006857691801920783;0
37;neoplasia;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
38;primária;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
39;segundo;0.005847953216374269;2.0;2.0;0.005847953216374269;0
40;tipo;0.011695906432748537;2.0;2.0;0.011695906432748537;0
41;incidência;0.011695906432748537;2.0;2.0;0.011695906432748537;0
42;homens;0.0628105932665701;2.6851528621458716;2.6851528621458716;0.0628105932665701;0
43;quarto;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
44;mulheres;0.0628105932665701;2.6851528621458716;2.6851528621458716;0.0628105932665701;0
45;país;0.015531406143939127;2.655870450613591;2.655870450613591;0.015531406143939127;0
46;figura;0.011695906432748537;2.0;2.0;0.011695906432748537;0
47;maioria;0.005847953216374269;2.0;2.0;0.005847953216374269;0
48;países;0.013715383603841566;2.345330596256908;2.345330596256908;0.013715383603841566;0
49;sobrevida;0.005847953216374269;2.0;2.0;0.005847953216374269;0
50;anos;0.02371086359129163;2.703038449407246;2.703038449407246;0.02371086359129163;0
51;semelhante;0.005847953216374269;2.0;2.0;0.005847953216374269;0
52;taxas;0.03140529663328505;2.6851528621458716;2.6851528621458716;0.03140529663328505;0
53;globais;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
54;variam;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
55;padronizadas;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
56;respectivamente;0.023297109215908694;2.655870450613591;2.655870450613591;0.023297109215908694;0
57;aumentou;0.011695906432748537;2.0;2.0;0.011695906432748537;0
58;tanto;0.011695906432748537;2.0;2.0;0.011695906432748537;0
59;brutas;0.004109547099731475;1.4054651081081644;1.4054651081081644;0.004109547099731475;0
